OMIM ID	DISEASE TERMS
115665	"Cataract 8, multiple types (2)"
172430	Enolase deficiency (1)
131190	
613898	"HMG-CoA lyase deficiency, 246450 (3)"
103320	"Myasthenia, limb-girdle, familial, 254300 (3)"
139380	
186357	"{Obesity, association with}, 601665 (3)"
154280	
612316	
612317	
615183	
610171	
613482	
615467	
147571	
612090	
612091	
612094	
610770	
614282	
605865	
114780	
611616	
608535	
610972	
611141	
615148	
602859	"Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3); Peroxisome biogenesis disorder 6B, 614871 (3)"
612836	
607671	"Dystonia 13, torsion (2)"
606242	Kondoh syndrome (2)
614269	
609970	
609971	
608060	
607348	
612532	
180474	
614827	
614414	"Deafness, autosomal recessive 96 (2)"
609183	
615291	"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3); Ehlers-Danlos syndrome, progeroid type, 2, 615349 (3)"
176873	
116951	
601883	
137163	"{Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to}, 613060 (3); {Epilepsy, idiopathic generalized, 10}, 613060 (3); {Epilepsy, juvenile myoclonic, susceptibility to}, 613060 (3)"
604266	
603905	
601142	
603320	
603321	
607093	"Homocystinuria due to MTHFR deficiency, 236250 (3); {Schizophrenia, susceptibility to}, 181500 (3); {Vascular disease, susceptibility to} (3); {Neural tube defects, susceptibility to}, 601634 (3); {Thromboembolism, susceptibility to}, 188050 (3)"
605557	"Left ventricular noncompaction 8, 615373 (3); Cardiomyopathy, dilated, 1LL, 615373 (3)"
604008	
180680	
164780	"Shprintzen-Goldberg syndrome, 182212 (3)"
603366	
613565	
611632	"Corneal dystrophy, Schnyder type, 121800 (3)"
611901	
606040	
165270	
182133	
601882	
605102	"MASP2 deficiency, 613791 (3)"
153454	"Ehlers-Danlos syndrome, type VI, 225400 (3)"
601328	
191191	
602746	
602234	
606351	"Deafness, autosomal recessive 36, 609006 (3); Deafness, neurosensory, without vestibular involvement, autosomal dominant (3)"
611833	
120550	"C1q deficiency, 613652 (3)"
120570	"C1q deficiency, 613652 (3)"
120575	"C1q deficiency, 613652 (3)"
609109	
605647	
610692	
609130	
607758	
612682	
605960	
610458	
608700	"Leber congenital amaurosis 9, 608553 (3)"
611251	
610816	
611657	
609895	
601405	"{Pancreatitis, chronic, susceptibility to}, 167800 (3)"
609111	
609918	Gallbladder disease 2 (2)
615212	
608863	
610817	
609443	
609444	
605995	"Charcot-Marie-Tooth disease, type 2A1, 118210 (3); Pheochromocytoma, 171300 (3); {Neuroblastoma, susceptibility to, 1}, 256700 (3)"
608507	"Charcot-Marie-Tooth disease, type 2A2, 609260 (3); Hereditary motor and sensory neuropathy VI, 601152 (3)"
601231	
610501	
612992	
108780	"Atrial fibrillation, familial, 6, 612201 (3)"
600295	
601791	"Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3)"
602839	"Activated PI3K-delta immunodeficiency syndrome, 615513 (3)"
608543	"{Schizophrenia 12}, 181500 (2)"
138230	
610371	
605078	"Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3); Frontotemporal lobar degeneration, TARDBP-related, 612069 (3)"
172200	
167410	"Rhabdomyosarcoma 2, alveolar, 268220 (3)"
164940	
600975	"Glaucoma 3, primary infantile, B (2)"
605226	
605763	
604084	
123920	
130500	"Elliptocytosis-1, 611804 (3)"
111700	"[Blood group, Rhesus], 111690 (3); Rh-null disease, amorph type (3)"
111680	[Rh-negative blood type] (3)
605348	
603418	
608477	
608478	
612494	
612496	
607747	
611624	
611758	
607934	
607935	
606755	
605347	"{Rheumatoid arthritis, susceptibility to}, 180300 (3)"
614760	
613484	
609890	
607629	
600277	
600613	
609122	"Aneurysm, intracranial berry, 3 (2)"
612957	{Vitamin B6 plasma level QTL 1} (2)
614986	
176945	
609132	
605037	
612037	
614638	
605630	
604128	
612627	"Seizures, benign familial infantile, 4 (2)"
114280	
608172	"Retinitis pigmentosa 59, 613861 (3)"
604973	"Immunodeficiency due to ficolin 3 deficiency, 613860 (3)"
607201	
607404	
611043	
604468	
615492	
610325	
607779	
610274	"Hyperphosphatasia with mental retardation syndrome 1, 239300 (3)"
611882	
601290	
609617	"Zinc deficiency, transient neonatal, 608118 (3)"
608317	
605975	
